time	232Th	228Ra	228Ac	228Th	224Ra	220Rn	216Po	212Pb	212Bi	212Po	208Tl	208Pb	
360000	1	5.62403e-13	6.2776e-17	3.20001e-16	3.3902e-19	5.92533e-23	1.64243e-25	3.92577e-20	2.77641e-21	2.0587e-31	7.61532e-23	4.17218e-20	
370000	1	5.78014e-13	6.4691e-17	3.39784e-16	3.69014e-19	6.45204e-23	1.7825e-25	4.29075e-20	3.05859e-21	2.26743e-31	8.37388e-23	4.56446e-20	
380000	1	5.93625e-13	6.66059e-17	3.60163e-16	4.00637e-19	7.00741e-23	1.93001e-25	4.67603e-20	3.35835e-21	2.48754e-31	9.17282e-23	4.9909e-20	
390000	1	6.09235e-13	6.85207e-17	3.8114e-16	4.33919e-19	7.59199e-23	2.08513e-25	5.08199e-20	3.6761e-21	2.71921e-31	1.00127e-22	5.45404e-20	
400000	1	6.24844e-13	7.04355e-17	4.02714e-16	4.68894e-19	8.20636e-23	2.24799e-25	5.509e-20	4.01223e-21	2.96259e-31	1.0894e-22	5.95655e-20	
410000	1	6.40453e-13	7.23502e-17	4.24885e-16	5.05593e-19	8.85106e-23	2.41874e-25	5.95743e-20	4.36712e-21	3.21785e-31	1.18173e-22	6.50117e-20	
420000	1	6.56061e-13	7.42648e-17	4.47653e-16	5.44045e-19	9.52662e-23	2.59752e-25	6.42764e-20	4.74115e-21	3.48513e-31	1.2783e-22	7.09073e-20	
430000	1	6.71669e-13	7.61794e-17	4.71017e-16	5.84281e-19	1.02336e-22	2.78445e-25	6.91999e-20	5.13468e-21	3.76459e-31	1.37917e-22	7.72815e-20	
440000	1	6.87276e-13	7.80938e-17	4.94978e-16	6.26329e-19	1.09724e-22	2.97969e-25	7.4348e-20	5.54807e-21	4.05637e-31	1.48439e-22	8.41643e-20	
450000	1	7.02882e-13	8.00082e-17	5.19536e-16	6.7022e-19	1.17436e-22	3.18336e-25	7.97242e-20	5.98168e-21	4.36063e-31	1.594e-22	9.15868e-20	
460000	1	7.18488e-13	8.19226e-17	5.4469e-16	7.15979e-19	1.25478e-22	3.39559e-25	8.53318e-20	6.43583e-21	4.67749e-31	1.70804e-22	9.95806e-20	
470000	1	7.34093e-13	8.38368e-17	5.70441e-16	7.63635e-19	1.33853e-22	3.61649e-25	9.1174e-20	6.91088e-21	5.0071e-31	1.82657e-22	1.08178e-19	
480000	1	7.49698e-13	8.5751e-17	5.96788e-16	8.13214e-19	1.42566e-22	3.84621e-25	9.72538e-20	7.40714e-21	5.34959e-31	1.94963e-22	1.17413e-19	
490000	1	7.65302e-13	8.76651e-17	6.23731e-16	8.64742e-19	1.51622e-22	4.08485e-25	1.03574e-19	7.92493e-21	5.7051e-31	2.07725e-22	1.27319e-19	
500000	1	7.80905e-13	8.95792e-17	6.5127e-16	9.18244e-19	1.61026e-22	4.33253e-25	1.10139e-19	8.46457e-21	6.07374e-31	2.20949e-22	1.37931e-19	
510000	1	7.96508e-13	9.14931e-17	6.79405e-16	9.73747e-19	1.70782e-22	4.58936e-25	1.1695e-19	9.02635e-21	6.45565e-31	2.34638e-22	1.49285e-19	
520000	1	8.1211e-13	9.3407e-17	7.08137e-16	1.03127e-18	1.80893e-22	4.85547e-25	1.2401e-19	9.61059e-21	6.85095e-31	2.48796e-22	1.61417e-19	
530000	1	8.27712e-13	9.53209e-17	7.37464e-16	1.09085e-18	1.91365e-22	5.13096e-25	1.31323e-19	1.02176e-20	7.25976e-31	2.63428e-22	1.74363e-19	
540000	1	8.43313e-13	9.72346e-17	7.67387e-16	1.15249e-18	2.02201e-22	5.41593e-25	1.38891e-19	1.08476e-20	7.68219e-31	2.78536e-22	1.88163e-19	
550000	1	8.58913e-13	9.91483e-17	7.97905e-16	1.21623e-18	2.13406e-22	5.71049e-25	1.46716e-19	1.15009e-20	8.11837e-31	2.94125e-22	2.02853e-19	
560000	1	8.74513e-13	1.01062e-16	8.29019e-16	1.28209e-18	2.24983e-22	6.01474e-25	1.54802e-19	1.21778e-20	8.56839e-31	3.10198e-22	2.18473e-19	
570000	1	8.90112e-13	1.02975e-16	8.60729e-16	1.35008e-18	2.36936e-22	6.32879e-25	1.63151e-19	1.28785e-20	9.03237e-31	3.2676e-22	2.35062e-19	
580000	1	9.05711e-13	1.04889e-16	8.93034e-16	1.42024e-18	2.49268e-22	6.65273e-25	1.71765e-19	1.36034e-20	9.51043e-31	3.43813e-22	2.52661e-19	
590000	1	9.21309e-13	1.06802e-16	9.25934e-16	1.49257e-18	2.61985e-22	6.98665e-25	1.80647e-19	1.43526e-20	1.00027e-30	3.61361e-22	2.71311e-19	
600000	1	9.36906e-13	1.08716e-16	9.59429e-16	1.5671e-18	2.75088e-22	7.33066e-25	1.898e-19	1.51264e-20	1.05092e-30	3.79407e-22	2.91053e-19	
610000	1	9.52503e-13	1.10629e-16	9.9352e-16	1.64386e-18	2.88582e-22	7.68484e-25	1.99224e-19	1.59251e-20	1.103e-30	3.97954e-22	3.11929e-19	
620000	1	9.68099e-13	1.12542e-16	1.02821e-15	1.72285e-18	3.0247e-22	8.04927e-25	2.08924e-19	1.67489e-20	1.15654e-30	4.17007e-22	3.33982e-19	
630000	1	9.83695e-13	1.14455e-16	1.06349e-15	1.8041e-18	3.16756e-22	8.42406e-25	2.18901e-19	1.7598e-20	1.21153e-30	4.36567e-22	3.57255e-19	
640000	1	9.9929e-13	1.16368e-16	1.09936e-15	1.88764e-18	3.31442e-22	8.80929e-25	2.29156e-19	1.84726e-20	1.26799e-30	4.56638e-22	3.81792e-19	
650000	1	1.01488e-12	1.18281e-16	1.13583e-15	1.97346e-18	3.46532e-22	9.20503e-25	2.39694e-19	1.9373e-20	1.32592e-30	4.77223e-22	4.07637e-19	
660000	1	1.03048e-12	1.20194e-16	1.1729e-15	2.0616e-18	3.62028e-22	9.61137e-25	2.50514e-19	2.02995e-20	1.38534e-30	4.98324e-22	4.34834e-19	
670000	1	1.04607e-12	1.22107e-16	1.21056e-15	2.15208e-18	3.77935e-22	1.00284e-24	2.61621e-19	2.12521e-20	1.44625e-30	5.19945e-22	4.6343e-19	
680000	1	1.06166e-12	1.24019e-16	1.24881e-15	2.2449e-18	3.94255e-22	1.04562e-24	2.73014e-19	2.22312e-20	1.50866e-30	5.42089e-22	4.9347e-19	
690000	1	1.07726e-12	1.25932e-16	1.28766e-15	2.34008e-18	4.10991e-22	1.08948e-24	2.84698e-19	2.32368e-20	1.57258e-30	5.64758e-22	5.25e-19	
700000	1	1.09285e-12	1.27845e-16	1.3271e-15	2.43765e-18	4.28146e-22	1.13443e-24	2.96672e-19	2.42693e-20	1.63802e-30	5.87954e-22	5.58067e-19	
710000	1	1.10844e-12	1.29757e-16	1.36714e-15	2.53761e-18	4.45722e-22	1.18048e-24	3.0894e-19	2.53288e-20	1.70498e-30	6.11681e-22	5.92718e-19	
