time	238U	234Th	234Pa	234U	230Th	226Ra	222Rn	218Po	218At	214Pb	218Rn	214Bi	214Po	210Tl	210Pb	210Bi	206Hg	210Po	206Tl	206Pb	
1.14912e+07	10	1.44456e-10	1.67289e-12	4.18721e-10	1.76028e-16	1.66908e-22	9.47367e-28	5.32251e-31	8.57671e-37	4.59639e-30	1.98866e-41	3.45273e-30	4.98867e-37	4.91066e-35	5.34013e-27	2.60525e-30	7.21446e-41	7.30748e-30	2.03475e-39	6.97009e-31	
1.2096e+07	10	1.45043e-10	1.67978e-12	4.47858e-10	1.99472e-16	1.9996e-22	1.14343e-27	6.42671e-31	1.03274e-36	5.54013e-30	2.43878e-41	4.17562e-30	5.85209e-37	5.79591e-35	6.77843e-27	3.34583e-30	9.15739e-41	9.87669e-30	2.61393e-39	9.96404e-31	
1.27008e+07	10	1.45524e-10	1.68541e-12	4.77104e-10	2.24496e-16	2.3728e-22	1.36599e-27	7.68324e-31	1.2312e-36	6.61034e-30	2.9846e-41	4.99979e-30	6.64948e-37	6.63767e-35	8.49746e-27	4.23912e-30	1.14813e-40	1.31333e-29	3.31424e-39	1.39756e-30	
1.33056e+07	10	1.45916e-10	1.69001e-12	5.06438e-10	2.51105e-16	2.79148e-22	1.61687e-27	9.10116e-31	1.45556e-36	7.81873e-30	3.61253e-41	5.92794e-30	7.46689e-37	7.50822e-35	1.05326e-26	5.30573e-30	1.42351e-40	1.72086e-29	4.1514e-39	1.92685e-30	
1.39104e+07	10	1.46238e-10	1.69377e-12	5.35845e-10	2.79303e-16	3.25843e-22	1.89789e-27	1.06886e-30	1.7088e-36	9.17849e-30	4.29649e-41	6.96053e-30	8.44878e-37	8.52953e-35	1.29215e-26	6.56766e-30	1.74697e-40	2.22497e-29	5.14152e-39	2.61549e-30	
1.45152e+07	10	1.465e-10	1.69685e-12	5.65311e-10	3.09093e-16	3.77647e-22	2.21088e-27	1.24528e-30	1.99438e-36	1.07045e-29	4.99598e-41	8.09545e-30	9.80767e-37	9.88158e-35	1.57037e-26	8.04836e-30	2.12386e-40	2.84202e-29	6.30092e-39	3.50016e-30	
1.512e+07	10	1.46715e-10	1.69937e-12	5.94825e-10	3.4048e-16	4.34838e-22	2.55767e-27	1.43995e-30	2.31634e-36	1.24136e-29	5.65393e-41	9.32764e-30	1.1834e-36	1.18107e-34	1.89209e-26	9.77267e-30	2.55967e-40	3.59011e-29	7.64584e-39	4.62359e-30	
1.57248e+07	10	1.4689e-10	1.70142e-12	6.24379e-10	3.73465e-16	4.97699e-22	2.9401e-27	1.6535e-30	2.66869e-36	1.42909e-29	6.269e-41	1.0684e-29	1.47114e-36	1.45424e-34	2.26198e-26	1.17669e-29	3.05944e-40	4.48914e-29	9.19252e-39	6.03516e-30	
1.63296e+07	10	1.47034e-10	1.7031e-12	6.53966e-10	4.0805e-16	5.66513e-22	3.36003e-27	1.88874e-30	3.04714e-36	1.63249e-29	7.07072e-41	1.22068e-29	1.73537e-36	1.71369e-34	2.685e-26	1.40587e-29	3.63067e-40	5.5609e-29	1.09744e-38	7.79155e-30	
1.69344e+07	10	1.47151e-10	1.70448e-12	6.83578e-10	4.44236e-16	6.41559e-22	3.81929e-27	2.14708e-30	3.45838e-36	1.85402e-29	8.07837e-41	1.38905e-29	1.95914e-36	1.94035e-34	3.166e-26	1.66772e-29	4.28089e-40	6.82913e-29	1.30181e-38	9.95744e-30	
1.75392e+07	10	1.47247e-10	1.7056e-12	7.13213e-10	4.82026e-16	7.23122e-22	4.31973e-27	2.4294e-30	3.90524e-36	2.09495e-29	9.27329e-41	1.57367e-29	2.15329e-36	2.14324e-34	3.71013e-26	1.96531e-29	5.01722e-40	8.31959e-29	1.53473e-38	1.26062e-29	
1.8144e+07	10	1.47326e-10	1.70652e-12	7.42865e-10	5.21419e-16	8.11482e-22	4.8632e-27	2.73648e-30	4.39113e-36	2.35675e-29	1.06204e-40	1.7744e-29	2.33633e-36	2.33796e-34	4.32274e-26	2.30183e-29	5.84693e-40	1.00601e-28	1.79853e-38	1.58204e-29	
1.87488e+07	10	1.4739e-10	1.70728e-12	7.72532e-10	5.62418e-16	9.06924e-22	5.45153e-27	3.06895e-30	4.92007e-36	2.6411e-29	1.20661e-40	1.99079e-29	2.5355e-36	2.54751e-34	5.0094e-26	2.68061e-29	6.77743e-40	1.20808e-28	2.09555e-38	1.96932e-29	
1.93536e+07	10	1.47442e-10	1.70789e-12	8.02211e-10	6.05022e-16	1.00973e-21	6.08657e-27	3.42727e-30	5.49677e-36	2.94989e-29	1.35365e-40	2.22199e-29	2.78768e-36	2.80315e-34	5.77589e-26	3.10515e-29	7.81618e-40	1.44137e-28	2.42802e-38	2.43282e-29	
1.99584e+07	10	1.47485e-10	1.70839e-12	8.31899e-10	6.49232e-16	1.12018e-21	6.77017e-27	3.81177e-30	6.12671e-36	3.2853e-29	1.49349e-40	2.4668e-29	3.14042e-36	3.14523e-34	6.62816e-26	3.57907e-29	8.97061e-40	1.70934e-28	2.79809e-38	2.98408e-29	
2.05632e+07	10	1.4752e-10	1.7088e-12	8.61595e-10	6.95049e-16	1.23856e-21	7.50418e-27	4.22245e-30	6.81247e-36	3.6486e-29	1.6149e-40	2.72462e-29	3.65523e-36	3.62899e-34	7.57247e-26	4.10614e-29	1.02477e-39	2.01567e-28	3.20761e-38	3.63592e-29	
2.1168e+07	10	1.47549e-10	1.70914e-12	8.91298e-10	7.42473e-16	1.36516e-21	8.29048e-27	4.66194e-30	7.52413e-36	4.03057e-29	1.75207e-40	3.00759e-29	4.21227e-36	4.16964e-34	8.61626e-26	4.69027e-29	1.16562e-39	2.36428e-28	3.6607e-38	4.40245e-29	
2.17728e+07	10	1.47572e-10	1.70941e-12	9.21006e-10	7.91504e-16	1.50024e-21	9.13091e-27	5.13392e-30	8.27884e-36	4.43677e-29	1.92632e-40	3.314e-29	4.6708e-36	4.62788e-34	9.7661e-26	5.33553e-29	1.32102e-39	2.75934e-28	4.16334e-38	5.29924e-29	
2.23776e+07	10	1.47591e-10	1.70964e-12	9.50718e-10	8.42143e-16	1.64411e-21	1.00273e-26	5.6391e-30	9.08037e-36	4.86879e-29	2.13335e-40	3.64357e-29	5.05282e-36	5.02218e-34	1.1029e-25	6.04611e-29	1.49194e-39	3.20526e-28	4.71868e-38	6.34332e-29	
2.29824e+07	10	1.47607e-10	1.70982e-12	9.80434e-10	8.94389e-16	1.79704e-21	1.09816e-26	6.17803e-30	9.93323e-36	5.32847e-29	2.36663e-40	3.99559e-29	5.39092e-36	5.38002e-34	1.2412e-25	6.82636e-29	1.67932e-39	3.7067e-28	5.32974e-38	7.55335e-29	
2.35872e+07	10	1.4762e-10	1.70997e-12	1.01015e-09	9.48244e-16	1.95932e-21	1.19955e-26	6.75108e-30	1.08428e-35	5.81793e-29	2.6172e-40	4.36893e-29	5.72924e-36	5.73877e-34	1.39226e-25	7.68075e-29	1.8841e-39	4.2686e-28	5.9994e-38	8.94964e-29	
2.4192e+07	10	1.4763e-10	1.7101e-12	1.03987e-09	1.00371e-15	2.13122e-21	1.30709e-26	7.35841e-30	1.18152e-35	6.33958e-29	2.87341e-40	4.762e-29	6.12446e-36	6.14653e-34	1.55683e-25	8.61392e-29	2.10722e-39	4.89615e-28	6.73038e-38	1.05543e-28	
